,coef
theta_bandpower_kurtosis_F_N2,-2.4875502203775213
theta_bandpower_kurtosis_C_N2,-1.7082176198297958
alpha_bandpower_kurtosis_F_N2,-1.21734698494798
alpha_bandpower_kurtosis_C_N2,-2.2924748624764995
kurtosis_N2_C,-1.1461308712420006
delta_theta_mean_C_N3,1.8894414137057538
delta_alpha_mean_C_N3,-0.9546001255008889
delta_theta_mean_F_N3,1.8993616359404655
kurtosis_N2_F,1.566408158622199
delta_alpha_mean_F_N3,-0.3318061308597464
delta_bandpower_mean_F_N3,-2.753357964062616
COUPL_OVERLAP_F,-1.7630381631788765
delta_bandpower_mean_C_N3,-1.2991319231744427
DENS_F,-1.262839255624975
theta_bandpower_kurtosis_C_N3,0.13861489192474252
delta_bandpower_kurtosis_C_N2,-3.205446687099956
delta_theta_mean_O_N3,-1.4283364236570435
kurtosis_N3_C,-1.0136486576518138
delta_alpha_mean_O_N3,2.042246963909852
COUPL_OVERLAP_C,1.1055168559795945
delta_bandpower_mean_O_N3,-1.976089720463662
delta_bandpower_kurtosis_F_N2,1.4756995364776202
DENS_C,-0.9025337299300915
sigma_bandpower_kurtosis_C_N2,0.9644072719361132
alpha_bandpower_kurtosis_O_N2,0.5210287700301297
alpha_bandpower_mean_C_N1,-0.1538709595375929
theta_alpha_mean_O_N1,0.17223784215297577
alpha_bandpower_mean_F_N1,2.681583906575554
